Age,Channel,Band,AbsMean_log10,AbsSD_log10,RelMean,RelSD
5,Fp1,Delta,0.946268,0.046792,0.073053,0.418236
5,Fp1,Theta,0.912628,0.038571,-0.703958,0.383701
5,Fp1,Alpha,0.826843,0.035990,-1.904244,0.347322
5,Fp1,Beta,0.706801,0.024238,-3.119776,0.257749
5,Fp1,Total,1.025891,0.024943,NaN,NaN
5,Fp2,Delta,0.961310,0.050218,0.125383,0.411125
5,Fp2,Theta,0.908319,0.039976,-0.815246,0.389771
5,Fp2,Alpha,0.826396,0.035823,-1.965057,0.310179
5,Fp2,Beta,0.710958,0.033073,-3.129600,0.260592
5,Fp2,Total,1.030411,0.030599,NaN,NaN
5,F7,Delta,0.944626,0.032953,-0.302072,0.322273
5,F7,Theta,0.944822,0.040290,-0.476075,0.362816
5,F7,Alpha,0.869261,0.036764,-1.620789,0.310912
5,F7,Beta,0.712460,0.027551,-3.132007,0.142446
5,F7,Total,1.044884,0.015086,NaN,NaN
5,F3,Delta,0.941307,0.032975,-0.314497,0.302963
5,F3,Theta,0.950712,0.039796,-0.431093,0.337462
5,F3,Alpha,0.875509,0.035978,-1.564619,0.277040
5,F3,Beta,0.720950,0.028263,-3.123821,0.135748
5,F3,Total,1.046619,0.017177,NaN,NaN
5,Fz,Delta,0.932619,0.028339,-0.739540,0.238041
5,Fz,Theta,0.969021,0.036122,-0.385023,0.323560
5,Fz,Alpha,0.929719,0.043473,-1.074167,0.320394
5,Fz,Beta,0.720254,0.032223,-3.319807,0.123264
5,Fz,Total,1.062217,0.016531,NaN,NaN
5,F4,Delta,0.942394,0.027821,-0.745661,0.265121
5,F4,Theta,0.978892,0.034724,-0.349546,0.321980
5,F4,Alpha,0.934659,0.039600,-1.109325,0.328408
5,F4,Beta,0.725308,0.026307,-3.321147,0.074308
5,F4,Total,1.069319,0.003925,NaN,NaN
5,F8,Delta,0.938315,0.039184,-1.060883,0.236698
